CustomerID,Name,Segment
CC-12430,Chuck Clark,Home Office
BP-11185,Ben Peterman,Corporate
JF-15415,Jennifer Ferguson,Consumer
KB-16600,Ken Brennan,Corporate
PO-18865,Patrick O'Donnell,Consumer
EB-13975,Erica Bern,Corporate
EH-14005,Erica Hernandez,Home Office
JM-15580,Jill Matthias,Consumer
KH-16690,Kristen Hastings,Corporate
JG-15160,James Galang,Consumer
HM-14860,Harry Marie,Corporate
BS-11755,Bruce Stewart,Consumer
CS-12400,Christopher Schild,Home Office
GH-14665,Greg Hansen,Consumer
PO-18850,Patrick O'Brill,Consumer
LO-17170,Lori Olson,Corporate
KH-16360,Katherine Hughes,Consumer
GA-14725,Guy Armstrong,Consumer
SV-20935,Susan Vittorini,Consumer
KB-16240,Karen Bern,Corporate
AH-10210,Alan Hwang,Consumer
MC-17845,Michael Chen,Consumer
JL-15175,James Lanier,Home Office
PC-18745,Pamela Coakley,Corporate
JG-15310,Jason Gross,Corporate
CV-12805,Cynthia Voltz,Corporate
TC-21535,Tracy Collins,Home Office
JB-16045,Julia Barnett,Home Office
DP-13105,Dave Poirier,Corporate
RF-19840,Roy Französisch,Consumer
RA-19285,Ralph Arnett,Consumer
AR-10540,Andy Reiter,Consumer
AC-10615,Ann Chong,Corporate
MH-18115,Mick Hernandez,Home Office
FH-14365,Fred Hopkins,Corporate
GD-14590,Giulietta Dortch,Corporate
DB-13210,Dean Braden,Consumer
JW-15955,Joni Wasserman,Consumer
HG-15025,Hunter Glantz,Consumer
CS-12355,Christine Sundaresam,Consumer
MF-18250,Monica Federle,Corporate
NC-18535,Nick Crebassa,Corporate
JL-15130,Jack Lebron,Consumer
JH-15430,Jennifer Halladay,Consumer
SG-20080,Sandra Glassco,Consumer
FM-14215,Filia McAdams,Corporate
DR-12880,Dan Reichenbach,Corporate
SE-20110,Sanjit Engle,Consumer
LP-17095,Liz Preis,Consumer
DK-12985,Darren Koutras,Consumer
NS-18505,Neola Schneider,Consumer
DK-13225,Dean Katz,Corporate
JM-15655,Jim Mitchum,Corporate
PK-19075,Pete Kriz,Consumer
YC-21895,Yoseph Carroll,Corporate
AG-10330,Alex Grayson,Consumer
DK-13150,David Kendrick,Corporate
SR-20425,Sharelle Roach,Home Office
CM-12190,Charlotte Melton,Consumer
BN-11515,Bradley Nguyen,Consumer
YS-21880,Yana Sorensen,Corporate
TP-21130,Theone Pippenger,Consumer
MM-17920,Michael Moore,Consumer
RM-19675,Robert Marley,Home Office
JB-15400,Jennifer Braxton,Corporate
DJ-13630,Doug Jacobs,Consumer
JP-15520,Jeremy Pistek,Consumer
BD-11635,Brian Derr,Consumer
SK-19990,Sally Knutson,Consumer
CM-12115,Chad McGuire,Consumer
TT-21460,Tonja Turnell,Home Office
HE-14800,Harold Engle,Corporate
GZ-14470,Gary Zandusky,Consumer
RA-19915,Russell Applegate,Consumer
DB-13660,Duane Benoit,Consumer
RD-19810,Ross DeVincentis,Home Office
TS-21505,Tony Sayre,Consumer
AT-10735,Annie Thurman,Consumer
BP-11290,Beth Paige,Consumer
VF-21715,Vicky Freymann,Home Office
AH-10030,Aaron Hawkins,Corporate
LC-17140,Logan Currie,Consumer
AY-10555,Andy Yotov,Corporate
AI-10855,Arianne Irving,Consumer
AC-10450,Amy Cox,Consumer
RB-19465,Rick Bensley,Home Office
GB-14575,Giulietta Baptist,Consumer
CA-12310,Christine Abelman,Corporate
HR-14770,Hallie Redmond,Home Office
AR-10510,Andrew Roberts,Consumer
GM-14455,Gary Mitchum,Home Office
PL-18925,Paul Lucas,Home Office
KL-16555,Kelly Lampkin,Corporate
KM-16225,Kalyca Meade,Corporate
EP-13915,Emily Phan,Consumer
SS-20140,Saphhira Shifley,Corporate
LC-16885,Lena Creighton,Consumer
KM-16660,Khloe Miller,Consumer
MP-18175,Mike Pelletier,Home Office
KN-16390,Katherine Nockton,Corporate
BF-11170,Ben Ferrer,Home Office
BP-11095,Bart Pistole,Corporate
DV-13045,Darrin Van Huff,Corporate
RB-19435,Richard Bierner,Consumer
LH-16900,Lena Hernandez,Consumer
MV-18190,Mike Vittorini,Consumer
HF-14995,Herbert Flentye,Consumer
SU-20665,Stephanie Ulpright,Home Office
AA-10375,Allen Armold,Consumer
JE-16165,Justin Ellison,Corporate
EG-13900,Emily Grady,Consumer
RD-19720,Roger Demir,Consumer
LW-17215,Luke Weiss,Consumer
LE-16810,Laurel Elliston,Consumer
HA-14920,Helen Andreada,Consumer
AH-10585,Angele Hood,Consumer
DM-13345,Denise Monton,Corporate
DB-13060,Dave Brooks,Consumer
RS-19870,Roy Skaria,Home Office
DK-12835,Damala Kotsonis,Corporate
AT-10435,Alyssa Tate,Home Office
HG-14965,Henry Goldwyn,Corporate
MW-18220,Mitch Webber,Consumer
DK-13375,Dennis Kane,Consumer
WB-21850,William Brown,Consumer
NB-18655,Nona Balk,Corporate
KH-16510,Keith Herrera,Consumer
AW-10840,Anthony Witt,Consumer
BT-11680,Brian Thompson,Consumer
DS-13180,David Smith,Corporate
AS-10225,Alan Schoenberger,Corporate
AS-10285,Alejandro Savely,Corporate
JL-15835,John Lee,Consumer
BH-11710,Brosina Hoffman,Consumer
RB-19705,Roger Barcio,Home Office
TS-21610,Troy Staebel,Consumer
DB-13120,David Bremer,Corporate
EB-13705,Ed Braxton,Corporate
NG-18430,Nathan Gelder,Consumer
NG-18355,Nat Gilpin,Corporate
DB-13270,Deborah Brumfield,Home Office
EM-14140,Eugene Moren,Home Office
LS-16975,Lindsay Shagiari,Home Office
BM-11650,Brian Moss,Corporate
SF-20965,Sylvia Foulston,Corporate
JE-15610,Jim Epp,Corporate
MB-17305,Maria Bertelson,Consumer
LB-16735,Larry Blacks,Consumer
DJ-13510,Don Jones,Corporate
CC-12370,Christopher Conant,Consumer
HG-14845,Harry Greene,Consumer
SN-20710,Steve Nguyen,Home Office
SM-20320,Sean Miller,Home Office
ML-18040,Michelle Lonsdale,Corporate
NK-18490,Neil Knudson,Home Office
CR-12820,Cyra Reiten,Home Office
RW-19690,Robert Waldorf,Consumer
SP-20860,Sung Pak,Corporate
NP-18670,Nora Paige,Consumer
MG-17650,Matthew Grinstein,Home Office
NF-18385,Natalie Fritzler,Consumer
CA-12265,Christina Anderson,Consumer
RC-19960,Ryan Crowe,Consumer
JM-15535,Jessica Myrick,Consumer
BF-11080,Bart Folk,Consumer
RD-19900,Ruben Dartt,Consumer
KF-16285,Karen Ferguson,Home Office
EB-14110,Eugene Barchas,Consumer
JM-15865,John Murray,Consumer
AR-10345,Alex Russell,Corporate
JA-15970,Joseph Airdo,Consumer
DM-12955,Dario Medina,Corporate
RH-19495,Rick Hansen,Consumer
MC-17575,Matt Collins,Consumer
JM-16195,Justin MacKendrick,Consumer
BB-11545,Brenda Bowman,Corporate
DK-12895,Dana Kaydos,Consumer
TD-20995,Tamara Dahlen,Consumer
NS-18640,Noel Staavos,Corporate
CS-11860,Cari Schnelling,Consumer
MR-17545,Mathew Reese,Home Office
Dl-13600,Dorris liebe,Corporate
ME-17320,Maria Etezadi,Home Office
BC-11125,Becky Castell,Home Office
SB-20170,Sarah Bern,Consumer
SB-20185,Sarah Brown,Consumer
MD-17350,Maribeth Dona,Consumer
AC-10420,Alyssa Crouse,Corporate
PS-19045,Penelope Sewall,Home Office
CK-12205,Chloris Kastensmidt,Consumer
LP-17080,Liz Pelletier,Consumer
AB-10060,Adam Bellavance,Home Office
JP-16135,Julie Prescott,Home Office
CS-12175,Charles Sheldon,Corporate
JH-15910,Jonathan Howell,Consumer
CA-12775,Cynthia Arntzen,Consumer
MM-18055,Michelle Moray,Consumer
BD-11320,Bill Donatelli,Consumer
KL-16645,Ken Lonsdale,Consumer
AH-10120,Adrian Hane,Home Office
NH-18610,Nicole Hansen,Corporate
ML-17755,Max Ludwig,Home Office
MG-17890,Michael Granlund,Home Office
KB-16585,Ken Black,Corporate
BS-11380,Bill Stewart,Corporate
SH-20395,Shahid Hopkins,Consumer
DW-13540,Don Weiss,Consumer
SP-20545,Sibella Parks,Corporate
DA-13450,Dianna Arnett,Home Office
LS-16945,Linda Southworth,Corporate
HP-14815,Harold Pawlan,Home Office
SW-20275,Scott Williamson,Consumer
LT-17110,Liz Thompson,Consumer
AH-10075,Adam Hart,Corporate
ME-17725,Max Engle,Consumer
FM-14290,Frank Merwin,Home Office
CC-12610,Corey Catlett,Corporate
PN-18775,Parhena Norris,Home Office
SC-20800,Stuart Calhoun,Consumer
SC-20380,Shahid Collister,Consumer
FG-14260,Frank Gastineau,Home Office
VP-21730,Victor Preis,Home Office
